Country Code,Short Name,Table Name,Long Name,Currency Unit,Region,National accounts base year,System of National Accounts
NIC,Nicaragua,Nicaragua,Republic of Nicaragua,Nicaraguan gold cordoba,Latin America & Caribbean,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
NLD,Netherlands,Netherlands,Kingdom of the Netherlands,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
NOR,Norway,Norway,Kingdom of Norway,Norwegian krone,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
NPL,Nepal,Nepal,Nepal,Nepalese rupee,South Asia,2010/11,Country uses the 1993 System of National Accounts methodology
NZL,New Zealand,New Zealand,New Zealand,New Zealand dollar,East Asia & Pacific,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
OMN,Oman,Oman,Sultanate of Oman,Omani rial,Middle East & North Africa,2018,Country uses the 2008 System of National Accounts methodology
PAK,Pakistan,Pakistan,Islamic Republic of Pakistan,Pakistani rupee,South Asia,2015/16,Country uses the 2008 System of National Accounts methodology
PAN,Panama,Panama,Republic of Panama,Panamanian balboa,Latin America & Caribbean,Original chained constant price data are rescaled.,Country uses the 1993 System of National Accounts methodology
PER,Peru,Peru,Republic of Peru,Peruvian new sol,Latin America & Caribbean,2007,Country uses the 2008 System of National Accounts methodology
PHL,Philippines,Philippines,Republic of the Philippines,Philippine peso,East Asia & Pacific,2018,Country uses the 2008 System of National Accounts methodology
PLW,Palau,Palau,Republic of Palau,U.S. dollar,East Asia & Pacific,2019,Country uses the 1993 System of National Accounts methodology
PNG,Papua New Guinea,Papua New Guinea,The Independent State of Papua New Guinea,Papua New Guinea kina,East Asia & Pacific,2013,Country uses the 1993 System of National Accounts methodology
POL,Poland,Poland,Republic of Poland,Polish zloty,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
PRI,Puerto Rico,Puerto Rico,Puerto Rico,U.S. dollar,Latin America & Caribbean,1953/54,Country uses the 1968 System of National Accounts methodology
PRT,Portugal,Portugal,Portuguese Republic,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
PRY,Paraguay,Paraguay,Republic of Paraguay,Paraguayan guarani,Latin America & Caribbean,2014,Country uses the 2008 System of National Accounts methodology
PSE,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,Israeli new shekel,Middle East & North Africa,2015,Country uses the 2008 System of National Accounts methodology
QAT,Qatar,Qatar,State of Qatar,Qatari riyal,Middle East & North Africa,2018,Country uses the 1993 System of National Accounts methodology
ROU,Romania,Romania,Romania,New Romanian leu,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
RUS,Russia,Russian Federation,Russian Federation,Russian ruble,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
RWA,Rwanda,Rwanda,Republic of Rwanda,Rwandan franc,Sub-Saharan Africa,2017,Country uses the 2008 System of National Accounts methodology
SAU,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,Saudi Arabian riyal,Middle East & North Africa,2010,Country uses the 2008 System of National Accounts methodology
SDN,Sudan,Sudan,Republic of the Sudan,Sudanese pound,Sub-Saharan Africa,1996,Country uses the 1968 System of National Accounts methodology
SEN,Senegal,Senegal,Republic of Senegal,West African CFA franc,Sub-Saharan Africa,2014,Country uses the 2008 System of National Accounts methodology
SGP,Singapore,Singapore,Republic of Singapore,Singapore dollar,East Asia & Pacific,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
SLB,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands dollar,East Asia & Pacific,2012,Country uses the 1993 System of National Accounts methodology
SLE,Sierra Leone,Sierra Leone,Republic of Sierra Leone,Sierra Leonean leone,Sub-Saharan Africa,2006,Country uses the 1993 System of National Accounts methodology
